JUGADOR: a                  
Ganador: a         
Puntaje de a: 12
Puntaje de Maquina: 1
Listado de turnos:
Turno: 001	Carta Jugada: -2     	Jugador: Maquina            
Turno: 002	Carta Jugada: +1     	Jugador: a                  
Turno: 002	Carta Jugada: +2     	Jugador: Maquina            
Turno: 003	Carta Jugada: -1     	Jugador: a                  
Turno: 003	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 004	Carta Jugada: -2     	Jugador: a                  
Turno: 004	Carta Jugada: -1     	Jugador: Maquina            
Turno: 005	Carta Jugada: +2     	Jugador: a                  
Turno: 005	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 006	Carta Jugada: Repite 	Jugador: a                  
Turno: 006	Carta Jugada: Repite 	Jugador: a                  
Turno: 007	Carta Jugada: -1     	Jugador: a                  
Turno: 007	Carta Jugada: +1     	Jugador: Maquina            
Turno: 008	Carta Jugada: -1     	Jugador: a                  
Turno: 008	Carta Jugada: +1     	Jugador: Maquina            
Turno: 009	Carta Jugada: +1     	Jugador: a                  
Turno: 009	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 010	Carta Jugada: +2     	Jugador: a                  
